applicant_id,education_level,experience_years,skills_score,certifications,interview_score,gender,age,ethnicity,ai_assessment_score,previous_company_reputation,target,ai_confidence
1,Masters,14,74.97,0,5.2,Male,59,Group_A,73.96,2,1,0.99
2,Bachelors,2,68.62,1,5.8,Female,24,Group_B,65.46,3,1,0.968
3,PhD,19,76.48,3,7.2,Female,29,Group_C,71.77,4,1,0.953
4,Bachelors,12,85.23,4,10.0,Male,59,Group_D,85.57,5,1,0.997
5,Masters,7,67.66,3,7.4,Male,35,Group_B,69.77,3,1,0.979
6,Masters,6,67.66,1,5.2,Female,29,Group_D,71.84,2,1,0.958
7,Bachelors,7,85.79,0,9.2,Female,32,Group_A,85.41,3,1,0.996
8,Masters,17,77.67,0,5.9,Male,54,Group_B,73.08,4,1,0.954
9,Bachelors,8,65.31,0,7.8,Female,36,Group_A,73.21,4,1,0.921
10,Bachelors,5,75.43,3,7.0,Male,58,Group_A,76.33,3,1,0.991
11,High School,3,65.37,2,6.4,Female,35,Group_D,65.07,2,1,0.997
12,Bachelors,14,65.34,2,8.1,Male,47,Group_C,70.62,2,1,0.947
13,Masters,4,72.42,0,5.7,Male,29,Group_A,77.76,3,1,0.947
14,PhD,4,50.87,5,3.4,Male,25,Group_A,61.43,3,1,0.894
15,Bachelors,6,52.75,2,4.6,Male,57,Group_A,57.98,3,1,0.948
16,Bachelors,8,64.38,1,7.7,Female,39,Group_A,62.63,2,1,0.982
17,High School,6,59.87,2,4.2,Female,48,Group_C,70.76,2,1,0.891
18,Masters,8,73.14,3,3.9,Male,40,Group_B,77.06,2,1,0.961
19,PhD,19,60.92,3,5.6,Female,24,Group_B,60.18,5,1,0.993
20,Bachelors,9,55.88,1,6.2,Male,30,Group_A,64.37,3,1,0.915
21,Bachelors,3,84.66,4,9.9,Male,23,Group_A,92.03,1,1,0.926
22,Bachelors,5,67.74,4,6.2,Female,30,Group_B,69.74,2,1,0.98
23,High School,13,70.68,0,6.6,Female,27,Group_C,83.14,4,1,0.875
24,Masters,8,55.75,3,7.0,Male,59,Group_D,56.99,2,1,0.988
25,Bachelors,0,64.56,3,4.2,Male,49,Group_A,69.06,2,1,0.955
26,Masters,16,71.11,2,6.6,Female,55,Group_A,73.98,5,1,0.971
27,Masters,12,58.49,3,6.1,Male,50,Group_A,67.23,3,1,0.913
28,Masters,6,73.76,2,7.9,Female,24,Group_A,69.13,2,1,0.954
29,Masters,8,63.99,8,5.8,Female,37,Group_A,55.24,3,1,0.912
30,PhD,10,67.08,2,6.7,Male,56,Group_D,67.1,3,1,1.0
31,PhD,2,63.98,1,3.4,Male,32,Group_C,58.41,2,1,0.944
32,Bachelors,11,88.52,1,8.1,Female,44,Group_A,87.85,3,1,0.993
33,High School,20,69.87,0,7.5,Male,51,Group_B,75.74,4,1,0.941
34,Bachelors,2,59.42,0,4.8,Male,26,Group_A,58.08,3,1,0.987
35,Masters,14,78.23,1,7.9,Female,29,Group_A,74.02,4,1,0.958
36,High School,20,57.79,0,6.3,Female,31,Group_B,58.14,3,1,0.996
37,High School,9,72.09,1,6.8,Male,49,Group_B,78.02,2,1,0.941
38,High School,0,50.4,3,5.2,Female,57,Group_B,41.93,2,0,0.915
39,Masters,13,56.72,1,4.5,Female,31,Group_D,60.82,3,1,0.959
40,Bachelors,19,71.97,1,6.9,Male,35,Group_B,78.65,4,1,0.933
41,Bachelors,5,77.38,1,8.5,Male,59,Group_A,87.45,2,1,0.899
42,High School,1,71.71,1,7.4,Female,58,Group_B,77.81,1,1,0.939
43,Masters,7,68.84,1,6.2,Male,26,Group_A,84.88,3,1,0.84
44,Bachelors,0,66.99,4,7.0,Male,27,Group_B,68.68,2,1,0.983
45,Bachelors,3,55.21,2,6.4,Female,51,Group_B,55.76,3,1,0.994
46,Masters,3,62.8,2,3.8,Female,40,Group_D,60.72,3,1,0.979
47,Bachelors,4,65.39,1,7.9,Female,35,Group_D,65.4,2,1,1.0
